Unnamed: 0,Area,Item,Year,Yield,Rainfall,Pesticides,Avg_Temperature
0,Albania,Maize,1990,-0.47602001415812784,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
1,Albania,Potatoes,1990,-0.12225670993404435,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
2,Albania,"Rice, paddy",1990,-0.6323378646970188,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
3,Albania,Sorghum,1990,-0.7598522679265223,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
4,Albania,Soybeans,1990,-0.8245923415683821,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
5,Albania,Wheat,1990,-0.5515422527919775,0.4732941910383859,-0.6163661228212831,-0.6610688930715855
6,Albania,Maize,1991,-0.5648316242722794,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
7,Albania,Potatoes,1991,0.009000846644206627,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
8,Albania,"Rice, paddy",1991,-0.5710702131868586,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
9,Albania,Sorghum,1991,-0.8285120587543348,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
10,Albania,Soybeans,1991,-0.835586383165018,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
11,Albania,Wheat,1991,-0.6633542454327098,0.4732941910383859,-0.6163661228212831,-0.8210831115687307
12,Albania,Maize,1992,-0.614175331309857,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
13,Albania,Potatoes,1992,0.069056093138892,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
14,Albania,"Rice, paddy",1992,-0.43615189971722246,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
15,Albania,Sorghum,1992,-0.8628831523969223,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
16,Albania,Soybeans,1992,-0.8539372513118653,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
17,Albania,Wheat,1992,-0.619919541480262,0.4732941910383859,-0.6163661228212831,-0.7101821680558581
18,Albania,Maize,1993,-0.6223090387437706,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
19,Albania,Potatoes,1993,0.25181143556862245,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
20,Albania,"Rice, paddy",1993,-0.4151290321673385,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
21,Albania,Soybeans,1993,-0.8128449609330047,0.4732941910383859,-0.6163661228212831,-0.7117664672488988
